Scientific.Name,sub-order,Family,DescriptionYear,MaxSVL_mm,MaxAvgBroodSize,Diet,ReproductMode,substrate,TreeImputed,Missing_MaxSVL,Missing_MaxAvgBroodSize,Missing_Diet,Missing_ReproductMode,Missing_substrate
Blanus strauchi,Amphisbaenia,Blanidae,1884,212,,Carnivorous,Oviparous,Fossorial,0,0,1,0,0,0
Blanus tingitanus,Amphisbaenia,Blanidae,1988,235,1,Carnivorous,Oviparous,Fossorial,0,0,0,0,0,0
Cadea blanoides,Amphisbaenia,Cadeidae,1916,260,2,Carnivorous,Oviparous,Fossorial,0,0,0,0,0,0
Cadea palirostrata,Amphisbaenia,Cadeidae,1916,280,,,,Fossorial,1,0,1,1,1,0
Chirindia ewerbecki,Amphisbaenia,Amphisbaenidae,1910,153,1,Carnivorous,Oviparous,Fossorial,1,0,0,0,0,0
Chirindia langi,Amphisbaenia,Amphisbaenidae,1939,158,,Carnivorous,Oviparous,Fossorial,1,0,1,0,0,0
Chirindia mpwapwaensis,Amphisbaenia,Amphisbaenidae,1932,175,,Carnivorous,Oviparous,Fossorial,1,0,1,0,0,0
Chirindia rondoensis,Amphisbaenia,Amphisbaenidae,1941,129,,,Oviparous,Fossorial,1,0,1,1,0,0
Chirindia swynnertoni,Amphisbaenia,Amphisbaenidae,1907,160,,Carnivorous,Oviparous,Fossorial,0,0,1,0,0,0
Cynisca bifrontalis,Amphisbaenia,Amphisbaenidae,1906,131,,,,Fossorial,1,0,1,1,1,0
Cynisca degrysi,Amphisbaenia,Amphisbaenidae,1941,107,,,,*Fossorial (imputed),1,0,1,1,1,0
Cynisca feae,Amphisbaenia,Amphisbaenidae,1906,168,2.82,Carnivorous,Oviparous,Fossorial,1,0,0,0,0,0
Cynisca gansi,Amphisbaenia,Amphisbaenidae,1968,1585,,,,Fossorial,1,0,1,1,1,0
Cynisca haugi,Amphisbaenia,Amphisbaenidae,1904,124,,,,Fossorial,1,0,1,1,1,0
Cynisca kigomensis,Amphisbaenia,Amphisbaenidae,1968,170,,,,Fossorial,1,0,1,1,1,0
Cynisca kraussi,Amphisbaenia,Amphisbaenidae,1878,160,,,Oviparous,Fossorial,0,0,1,1,0,0
Cynisca leonina,Amphisbaenia,Amphisbaenidae,1885,155,2,Carnivorous,Oviparous,Fossorial,1,0,0,0,0,0
Cynisca leucura,Amphisbaenia,Amphisbaenidae,1839,258,2.25,Carnivorous,Oviparous,Fossorial,0,0,0,0,0,0
Cynisca liberiensis,Amphisbaenia,Amphisbaenidae,1878,158,,Carnivorous,,Fossorial,1,0,1,0,1,0
Cynisca muelleri,Amphisbaenia,Amphisbaenidae,1881,175,,,,Fossorial,1,0,1,1,1,0
Cynisca nigeriensis,Amphisbaenia,Amphisbaenidae,1968,173,,,,Fossorial,1,0,1,1,1,0
Cynisca oligopholis,Amphisbaenia,Amphisbaenidae,1906,147,,Carnivorous,Oviparous,Fossorial,1,0,1,0,0,0
Cynisca rouxae,Amphisbaenia,Amphisbaenidae,1979,124,,,,Fossorial,1,0,1,1,1,0
Cynisca schaeferi,Amphisbaenia,Amphisbaenidae,1912,197,,,,Fossorial,1,0,1,1,1,0
Cynisca senegalensis,Amphisbaenia,Amphisbaenidae,1987,167,2.13,Carnivorous,Oviparous,Fossorial,1,0,0,0,0,0
Cynisca williamsi,Amphisbaenia,Amphisbaenidae,1987,161,,,,Fossorial,1,0,1,1,1,0
Dalophia angolensis,Amphisbaenia,Amphisbaenidae,1976,362,,,,Fossorial,1,0,1,1,1,0
Dalophia ellenbergeri,Amphisbaenia,Amphisbaenidae,1920,420,,,Oviparous,Fossorial,0,0,1,1,0,0
Dalophia gigantea,Amphisbaenia,Amphisbaenidae,1903,705,,,,Fossorial,1,0,1,1,1,0
Dalophia longicauda,Amphisbaenia,Amphisbaenidae,1915,520,,Carnivorous,Oviparous,Fossorial,1,0,1,0,0,0
Dalophia luluae,Amphisbaenia,Amphisbaenidae,1942,260,,,,Fossorial,1,0,1,1,1,0
Dalophia pistillum,Amphisbaenia,Amphisbaenidae,1895,560,4,Carnivorous,Oviparous,Fossorial,0,0,0,0,0,0
Dalophia welwitschii,Amphisbaenia,Amphisbaenidae,1865,293,,,,Fossorial,,0,1,1,1,0
Diplometopon zarudnyi,Amphisbaenia,Trogonophidae,1907,236,,Carnivorous,Oviparous,Fossorial,0,0,1,0,0,0
Geocalamus acutus,Amphisbaenia,Amphisbaenidae,1912,248,,Carnivorous,Oviparous,Fossorial,0,0,1,0,0,0
Geocalamus modestus,Amphisbaenia,Amphisbaenidae,1880,240,,Carnivorous,,Fossorial,1,0,1,0,1,0
Leposternon cerradensis,Amphisbaenia,Amphisbaenidae,2008,385,,,,*Fossorial (imputed),,0,1,1,1,0
Leposternon infraorbitale,Amphisbaenia,Amphisbaenidae,1859,635,4,,Oviparous,Fossorial,,0,0,1,0,0
Leposternon kisteumacheri,Amphisbaenia,Amphisbaenidae,2000,356,,,,Fossorial,,0,1,1,1,0
Leposternon maximus,Amphisbaenia,Amphisbaenidae,2011,440,,,,*Fossorial (imputed),,0,1,1,1,0
Leposternon microcephalum,Amphisbaenia,Amphisbaenidae,1824,550,,Carnivorous,Oviparous,Fossorial,,0,1,0,0,0
Leposternon octostegum,Amphisbaenia,Amphisbaenidae,1851,388,,,,Fossorial,,0,1,1,1,0
Leposternon polystegum,Amphisbaenia,Amphisbaenidae,1851,4701,,Carnivorous,Oviparous,Fossorial,,0,1,0,0,0
Leposternon scutigerum,Amphisbaenia,Amphisbaenidae,1820,500,,,,Fossorial,,0,1,1,1,0
Leposternon wuchereri,Amphisbaenia,Amphisbaenidae,1879,4321,,Carnivorous,,Fossorial,,0,1,0,1,0
Loveridgea ionidesii,Amphisbaenia,Amphisbaenidae,1950,184,,Carnivorous,Viviparous,Fossorial,1,0,1,0,0,0
Loveridgea phylofiniens,Amphisbaenia,Amphisbaenidae,1899,195,,,,*Fossorial (imputed),1,0,1,1,1,0
Mesobaena huebneri,Amphisbaenia,Amphisbaenidae,1925,252,,,,*Fossorial (imputed),1,0,1,1,1,0
Mesobaena rhachicephala,Amphisbaenia,Amphisbaenidae,2009,253,,Carnivorous,Oviparous,Fossorial,1,0,1,0,0,0
Monopeltis adercae,Amphisbaenia,Amphisbaenidae,1953,510,,,Oviparous,Fossorial,1,0,1,1,0,0
Monopeltis anchietae,Amphisbaenia,Amphisbaenidae,1873,345,2.4,Carnivorous,Viviparous,Fossorial,1,0,0,0,0,0
Monopeltis capensis,Amphisbaenia,Amphisbaenidae,1848,340,,Carnivorous,Viviparous,Fossorial,0,0,1,0,0,0
Monopeltis decosteri,Amphisbaenia,Amphisbaenidae,1910,290,,,,Fossorial,1,0,1,1,1,0
Monopeltis galeata,Amphisbaenia,Amphisbaenidae,1852,466,,,Oviparous,Fossorial,1,0,1,1,0,0
Monopeltis guentheri,Amphisbaenia,Amphisbaenidae,1885,356,,,,Fossorial,1,0,1,1,1,0
Monopeltis infuscata,Amphisbaenia,Amphisbaenidae,1997,340,,,,Fossorial,1,0,1,1,1,0
Monopeltis jugularis,Amphisbaenia,Amphisbaenidae,1880,640,,,,Fossorial,1,0,1,1,1,0
Monopeltis kabindae,Amphisbaenia,Amphisbaenidae,1942,188,,,,Fossorial,1,0,1,1,1,0
Monopeltis leonhardi,Amphisbaenia,Amphisbaenidae,1910,290,,Carnivorous,,Fossorial,1,0,1,0,1,0
Monopeltis luandae,Amphisbaenia,Amphisbaenidae,1976,385,,,,Fossorial,1,0,1,1,1,0
Monopeltis perplexus,Amphisbaenia,Amphisbaenidae,1976,300,,,,Fossorial,1,0,1,1,1,0
Monopeltis remaclei,Amphisbaenia,Amphisbaenidae,1933,580,,,Oviparous,Fossorial,1,0,1,1,0,0
Monopeltis rhodesiana,Amphisbaenia,Amphisbaenidae,1976,290,,Carnivorous,,Fossorial,1,0,1,0,1,0
Monopeltis scalper,Amphisbaenia,Amphisbaenidae,1876,290,,,,Fossorial,1,0,1,1,1,0
Monopeltis schoutedeni,Amphisbaenia,Amphisbaenidae,1933,660,,,,Fossorial,1,0,1,1,1,0
Monopeltis sphenorhynchus,Amphisbaenia,Amphisbaenidae,1879,365,,Carnivorous,Viviparous,Fossorial,0,0,1,0,0,0
Monopeltis vanderysti,Amphisbaenia,Amphisbaenidae,1922,365,,,,Fossorial,1,0,1,1,1,0
Monopeltis zambezensis,Amphisbaenia,Amphisbaenidae,1974,275,,,,Fossorial,1,0,1,1,1,0
Pachycalamus brevis,Amphisbaenia,Trogonophidae,1881,198,,,,Fossorial,1,0,1,1,1,0
Rhineura floridana,Amphisbaenia,Rhineuridae,1858,380,,Carnivorous,Oviparous,Fossorial,0,0,1,0,0,0
Trogonophis wiegmanni,Amphisbaenia,Trogonophidae,1830,240,,Carnivorous,Viviparous,Fossorial,0,0,1,0,0,0
Zygaspis dolichomenta,Amphisbaenia,Amphisbaenidae,1942,226,,,,Fossorial,1,0,1,1,1,0
Zygaspis ferox,Amphisbaenia,Amphisbaenidae,1997,247,,Carnivorous,,Fossorial,1,0,1,0,1,0
Zygaspis kafuensis,Amphisbaenia,Amphisbaenidae,1997,220,,Carnivorous,Oviparous,Fossorial,1,0,1,0,0,0
Zygaspis nigra,Amphisbaenia,Amphisbaenidae,1969,280,,Carnivorous,Oviparous,Fossorial,0,0,1,0,0,0
Zygaspis quadrifrons,Amphisbaenia,Amphisbaenidae,1862,245,3.3,Carnivorous,Oviparous,Fossorial,0,0,0,0,0,0
Zygaspis vandami,Amphisbaenia,Amphisbaenidae,1930,185,,Carnivorous,Oviparous,Fossorial,0,0,1,0,0,0
Zygaspis violacea,Amphisbaenia,Amphisbaenidae,1854,185,,,,Fossorial,1,0,1,1,1,0
Acanthocercus adramitanus,Sauria,Agamidae,1896,157,,Omnivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,1,0,1,0,0,0
Acanthocercus annectans,Sauria,Agamidae,1870,152,,Carnivorous,Oviparous,Saxicolous,,0,1,0,0,0
Acanthocercus atricollis,Sauria,Agamidae,1849,171,11.4,Omnivorous,Oviparous,Arboreal,0,0,0,0,0,0
Acanthocercus branchi,Sauria,Agamidae,2012,155,,Carnivorous,Oviparous,Arboreal,1,0,1,0,0,0
